1000MERCIS,1000mercis
BUDGET TELECOM,budgettelecom
BUFFALO GRILL,buffalogrill
BULL,bull
BUREAU VERITAS,bureauveritas
BUSINESS & DECISION,businessdecision
BUSINESS INTERACTIF,businessinteractif
BUSINESS OBJECTS,businessobjects
CADES,cades
CAFOM,cafom
CAISSE CENTRALE DU CREDIT IMMOBILIER DE FRANCE - 3CIF,caissecentraleducreditimmobilierdefrance3cif
CAISSE D'EPARGNE AQUITAINE-POITOU-CHARENTES,caissedepargneaquitainepoitoucharentes
CAISSE D'EPARGNE BRETAGNE-PAYS DE LOIRE,caissedepargnebretagnepaysdeloire
CAISSE D'EPARGNE COTE D'AZUR,caissedepargnecotedazur
CAISSE D'EPARGNE D'ALSACE,caissedepargnedalsace
CAISSE D'EPARGNE D'AUVERGNE ET DU LIMOUSIN,caissedepargnedauvergneetdulimousin
CAISSE D'EPARGNE DE BOURGOGNE FRANCHE COMTE,caissedepargnedebourgognefranchecomte
CAISSE D'EPARGNE DE MIDI PYRENEES,caissedepargnedemidipyrenees
CAISSE D'EPARGNE ET DE PREVOYANCE DU LANGUEDOC ROUSSILLON,caissedepargneetdeprevoyancedulanguedocroussillon
CAISSE D'EPARGNE ET DE PREVOYANCE ILE DE FRANCE,caissedepargneetdeprevoyanceiledefrance
CAISSE D'EPARGNE ET DE PREVOYANCE LOIRE DROME ARDECHE,caissedepargneetdeprevoyanceloiredromeardeche
CAISSE D'EPARGNE ET DE PREVOYANCE PROVENCE-ALPES-CORSE S.A.,caissedepargneetdeprevoyanceprovencealpescorsesa
CAISSE D'EPARGNE ET DE PREVOYANCE RHONE ALPES,caissedepargneetdeprevoyancerhonealpes
CAISSE D'EPARGNE LOIRE-CENTRE,caissedepargneloirecentre
CAISSE D'EPARGNE NORD FRANCE EUROPE,caissedepargnenordfranceeurope
CAISSE D'EPARGNE NORMANDIE,caissedepargnenormandie
CAISSE D'EPARGNE RHONE ALPES,caissedepargnerhonealpes
CAISSE D'EPARNE DE PICARDIE,caissedeparnedepicardie
CAISSE DE REFINANCEMENT DE L'HABITAT,caissederefinancementdelhabitat
CAISSE DES DEPOTS ET CONSIGNATIONS,caissedesdepotsetconsignations
CAISSE FEDERALE DU CREDIT MUTUEL CENTRE EST EUROPE,caissefederaleducreditmutuelcentreesteurope
CAISSE FEDERALE DU CREDIT MUTUEL D'ANJOU,caissefederaleducreditmutueldanjou
CAISSE FEDERALE DU CREDIT MUTUEL OCEAN,caissefederaleducreditmutuelocean
CAISSE FRANCAISE DE FINANCEMENT LOCAL,caissefrancaisedefinancementlocal
CAISSE LOCALE,caisselocale
CAISSE NATIONALE DES CAISSES D'EPARGNE ET DE PREVOYANCE,caissenationaledescaissesdepargneetdeprevoyance
CAISSE REGIONALE DE CREDIT AGRICOLE CHARENTE-PERIGORD,caisseregionaledecreditagricolecharenteperigord
CAISSE REGIONALE DE CREDIT AGRICOLE DE BRIE PICARDIE,caisseregionaledecreditagricoledebriepicardie
CAISSE REGIONALE DE CREDIT AGRICOLE DE NORMANDIE,caisseregionaledecreditagricoledenormandie
CAISSE REGIONALE DE CREDIT AGRICOLE DU FINISTERE,caisseregionaledecreditagricoledufinistere
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL ALSACE VOSGES,caisseregionaledecreditagricolemutuelalsacevosges
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE GUADELOUPE,caisseregionaledecreditagricolemutueldeguadeloupe
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE L'OISE,caisseregionaledecreditagricolemutueldeloise
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL NORD-EST,caisseregionaledecreditagricolemutuelnordest
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL VAL DE FRANCE,caisseregionaledecreditagricolemutuelvaldefrance
CAISSE REGIONALE DE CREDIT AGRICOLE PROVENCE COTE D'AZUR,caisseregionaledecreditagricoleprovencecotedazur
CAISSE REGIONALE DE CREDIT AGRICOLE SUD MEDITERRANEE,caisseregionaledecreditagricolesudmediterranee
CAISSE REGIONALE DE CREDIT MARITIME MUTUEL ATLANTIQUE,caisseregionaledecreditmaritimemutuelatlantique
CAISSE REGIONALE DU LANGUEDOC,caisseregionaledulanguedoc
CALYON,calyon
CALYON FINANCIAL PRODUCTS (GUERNSEY) LIMITED,calyonfinancialproductsguernseylimited
CAMAIEU,camaieu
CAMELEON SOFTWARE,cameleonsoftware
CAP GEMINI,capgemini
CAPELLI,capelli
CARMAT,carmat
CARPINIENNE DE PARTICIPATIONS,carpiniennedeparticipations
CARREFOUR,carrefour
CARREFOUR PROPERTY DEVELOPMENT,carrefourpropertydevelopment
CARRERE GROUP SA,carreregroupsa
CASDEN,casden
CASINO GUICHARD PERRACHON,casinoguichardperrachon
CAST,cast
CBO TERRITORIA,cboterritoria
CEDIP,cedip
CEGEDIM,cegedim
CEGEREAL,cegereal
CEGID GROUP,cegidgroup
CELEOS,celeos
